"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"24","Node1/:MER11B(30,0.93)","Node1/","T_1371","513 495",513,495,0.0613349009,495,651,NA,NA,"MER11B","hg19","#C6E54B",2.0743041754,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"25","Node1/:MER11B(30,0.93)","Node1/","T_1311","513 487",513,487,0.048137104,487,642,NA,NA,"MER11B","hg19","#C6E54B",2.0611063785,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"26","Node1/:MER11B(30,0.93)","Node1/","T_998","668 486",668,486,2.5259e-06,486,641,NA,NA,"MER11B","hg19","#C6E54B",2.0831103097,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"27","Node1/:MER11B(30,0.93)","Node1/","T_1263","513 500",513,500,0.0582111635,500,656,NA,NA,"MER11B","hg19","#C6E54B",2.071180438,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"28","Node1/:MER11B(30,0.93)","Node1/","T_1277","670 504",670,504,0.0479998086,504,661,NA,NA,"MER11B","hg19","#C6E54B",2.0798171456,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"29","Node1/:MER11B(30,0.93)","Node1/","T_1404","513 508",513,508,0.0592502209,508,665,NA,NA,"MER11B","hg19","#C6E54B",2.0722194954,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"30","Node1/:MER11B(30,0.93)","Node1/","T_1220","513 499",513,499,0.0448785534,499,655,NA,NA,"MER11B","hg19","#C6E54B",2.0578478279,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"31","Node10/96:MER11B(47,1)","Node10/96","T_1049","622 287",622,287,0.0532897818,287,396,NA,NA,"MER11B","hg19","#DEB457",0.3255376391,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"32","Node10/96:MER11B(47,1)","Node10/96","T_1135","627 313",627,313,0.0336857088,313,427,NA,NA,"MER11B","hg19","#DEB457",0.313651433,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"33","Node10/96:MER11B(47,1)","Node10/96","T_1008","625 294",625,294,0.0310493114,294,406,NA,NA,"MER11B","hg19","#DEB457",0.3107147542,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"34","Node10/96:MER11B(47,1)","Node10/96","T_1445","522 289",522,289,0.0550373313,289,398,NA,NA,"MER11B","hg19","#DEB457",0.3050321273,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"35","Node10/96:MER11B(47,1)","Node10/96","T_1341","522 314",522,314,0.0593707049,314,428,NA,NA,"MER11B","hg19","#DEB457",0.3093655009,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"36","Node10/96:MER11B(47,1)","Node10/96","T_1293","522 323",522,323,0.0830458628,323,438,NA,NA,"MER11B","hg19","#DEB457",0.3330406588,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"37","Node10/96:MER11B(47,1)","Node10/96","T_1060","522 301",522,301,0.042658287,301,414,NA,NA,"MER11B","hg19","#DEB457",0.292653083,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"38","Node10/96:MER11B(47,1)","Node10/96","T_1268","621 288",621,288,0.0602020425,288,397,NA,NA,"MER11B","hg19","#DEB457",0.3225293288,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"39","Node10/96:MER11B(47,1)","Node10/96","T_1314","522 296",522,296,0.0357957149,296,408,NA,NA,"MER11B","hg19","#DEB457",0.2857905109,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"40","Node10/96:MER11B(47,1)","Node10/96","T_1214","522 315",522,315,0.0467711668,315,429,NA,NA,"MER11B","hg19","#DEB457",0.2967659628,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"41","Node10/96:MER11B(47,1)","Node10/96","T_1234","621 284",621,284,0.0543979439,284,392,NA,NA,"MER11B","hg19","#DEB457",0.3167252302,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"42","Node10/96:MER11B(47,1)","Node10/96","T_1273","522 306",522,306,0.0702997962,306,419,NA,NA,"MER11B","hg19","#DEB457",0.3202945922,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"43","Node10/96:MER11B(47,1)","Node10/96","T_1305","522 311",522,311,0.0459622208,311,424,NA,NA,"MER11B","hg19","#DEB457",0.2959570168,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"44","Node10/96:MER11B(47,1)","Node10/96","T_1162","522 322",522,322,0.109084029,322,437,NA,NA,"MER11B","hg19","#DEB457",0.359078825,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"45","Node10/96:MER11B(47,1)","Node10/96","T_993","624 291",624,291,0.0539665261,291,402,NA,NA,"MER11B","hg19","#DEB457",0.3173350501,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"46","Node10/96:MER11B(47,1)","Node10/96","T_1203","626 300",626,300,0.0437392595,300,413,NA,NA,"MER11B","hg19","#DEB457",0.3084753123,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"47","Node10/96:MER11B(47,1)","Node10/96","T_1163","522 324",522,324,0.1203125892,324,439,NA,NA,"MER11B","hg19","#DEB457",0.3703073852,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"48","Node10/96:MER11B(47,1)","Node10/96","T_1040","621 282",621,282,0.0454404125,282,390,NA,NA,"MER11B","hg19","#DEB457",0.3077676988,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"49","Node10/96:MER11B(47,1)","Node10/96","T_1291","522 321",522,321,0.0866016875,321,436,NA,NA,"MER11B","hg19","#DEB457",0.3365964835,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"50","Node10/96:MER11B(47,1)","Node10/96","T_1057","522 308",522,308,0.055871978,308,421,NA,NA,"MER11B","hg19","#DEB457",0.305866774,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"51","Node10/96:MER11B(47,1)","Node10/96","T_1433","522 279",522,279,0.0616201463,279,386,NA,NA,"MER11B","hg19","#DEB457",0.3116149423,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"52","Node10/96:MER11B(47,1)","Node10/96","T_1181","628 319",628,319,0.0491161965,319,434,NA,NA,"MER11B","hg19","#DEB457",0.315877715,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"53","Node10/96:MER11B(47,1)","Node10/96","T_1286","522 310",522,310,0.0692407976,310,423,NA,NA,"MER11B","hg19","#DEB457",0.3192355936,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"54","Node10/96:MER11B(47,1)","Node10/96","T_977","522 297",522,297,0.0596683076,297,409,NA,NA,"MER11B","hg19","#DEB457",0.3096631036,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"55","Node10/96:MER11B(47,1)","Node10/96","T_1315","522 316",522,316,0.045511014,316,430,NA,NA,"MER11B","hg19","#DEB457",0.29550581,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"56","Node10/96:MER11B(47,1)","Node10/96","T_1415","522 317",522,317,0.1109219248,317,431,NA,NA,"MER11B","hg19","#DEB457",0.3609167208,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"57","Node10/96:MER11B(47,1)","Node10/96","T_1007","625 293",625,293,0.0342915768,293,405,NA,NA,"MER11B","hg19","#DEB457",0.3139570196,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"58","Node10/96:MER11B(47,1)","Node10/96","T_1133","626 299",626,299,0.0408636965,299,412,NA,NA,"MER11B","hg19","#DEB457",0.3055997493,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"59","Node10/96:MER11B(47,1)","Node10/96","T_1134","627 312",627,312,0.0246389107,312,426,NA,NA,"MER11B","hg19","#DEB457",0.3046046349,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"60","Node10/96:MER11B(47,1)","Node10/96","T_1460","522 320",522,320,0.0568864363,320,435,NA,NA,"MER11B","hg19","#DEB457",0.3068812323,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"61","Node10/96:MER11B(47,1)","Node10/96","T_1278","621 285",621,285,0.0543310643,285,393,NA,NA,"MER11B","hg19","#DEB457",0.3166583506,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"62","Node10/96:MER11B(47,1)","Node10/96","T_1125","522 298",522,298,0.0645398022,298,410,NA,NA,"MER11B","hg19","#DEB457",0.3145345982,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"63","Node10/96:MER11B(47,1)","Node10/96","T_1108","522 278",522,278,0.0566610396,278,385,NA,NA,"MER11B","hg19","#DEB457",0.3066558356,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"64","Node10/96:MER11B(47,1)","Node10/96","T_1362","624 292",624,292,0.061013851,292,403,NA,NA,"MER11B","hg19","#DEB457",0.324382375,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"65","Node10/96:MER11B(47,1)","Node10/96","T_1280","621 283",621,283,0.0452099934,283,391,NA,NA,"MER11B","hg19","#DEB457",0.3075372797,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"66","Node10/96:MER11B(47,1)","Node10/96","T_1236","622 286",622,286,0.0389405306,286,395,NA,NA,"MER11B","hg19","#DEB457",0.3111883879,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"67","Node10/96:MER11B(47,1)","Node10/96","T_1187","522 304",522,304,0.0483230602,304,417,NA,NA,"MER11B","hg19","#DEB457",0.2983178562,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"68","Node10/96:MER11B(47,1)","Node10/96","T_1296","522 307",522,307,0.0515851348,307,420,NA,NA,"MER11B","hg19","#DEB457",0.3015799308,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"69","Node10/96:MER11B(47,1)","Node10/96","T_1307","522 305",522,305,0.0497368348,305,418,NA,NA,"MER11B","hg19","#DEB457",0.2997316308,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"70","Node10/96:MER11B(47,1)","Node10/96","T_1294","522 302",522,302,0.0579315454,302,415,NA,NA,"MER11B","hg19","#DEB457",0.3079263414,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"71","Node10/96:MER11B(47,1)","Node10/96","T_1193","623 295",623,295,0.0496802657,295,407,NA,NA,"MER11B","hg19","#DEB457",0.310831996,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"72","Node10/96:MER11B(47,1)","Node10/96","T_1115","522 303",522,303,0.0660292671,303,416,NA,NA,"MER11B","hg19","#DEB457",0.3160240631,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"73","Node10/96:MER11B(47,1)","Node10/96","T_1204","522 309",522,309,0.0530608992,309,422,NA,NA,"MER11B","hg19","#DEB457",0.3030556952,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"74","Node10/96:MER11B(47,1)","Node10/96","T_1475","522 281",522,281,0.0557510795,281,388,NA,NA,"MER11B","hg19","#DEB457",0.3057458755,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"75","Node10/96:MER11B(47,1)","Node10/96","T_1191","628 318",628,318,0.0349581545,318,433,NA,NA,"MER11B","hg19","#DEB457",0.301719673,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"76","Node10/96:MER11B(47,1)","Node10/96","T_1453","522 280",522,280,0.0523905949,280,387,NA,NA,"MER11B","hg19","#DEB457",0.3023853909,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"77","Node10/96:MER11B(47,1)","Node10/96","T_1066","624 290",624,290,0.0554376239,290,401,NA,NA,"MER11B","hg19","#DEB457",0.3188061479,"kept","Node10","96","MER11B","47","47","11B|N10|47","instance"
"78","Node11/99:MER11B(33,1)","Node11/99","T_991","523 253",523,253,0.0570084049,253,357,NA,NA,"MER11B","hg19","#E56D52",0.2849311689,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"79","Node11/99:MER11B(33,1)","Node11/99","T_1372","618 262",618,262,0.0419532255,262,368,NA,NA,"MER11B","hg19","#E56D52",0.2794857768,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"80","Node11/99:MER11B(33,1)","Node11/99","T_1486","619 260",619,260,0.0009682867,260,366,NA,NA,"MER11B","hg19","#E56D52",0.353534139,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"81","Node11/99:MER11B(33,1)","Node11/99","T_1498","620 275",620,275,2.5259e-06,275,382,NA,NA,"MER11B","hg19","#E56D52",0.3461741882,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"82","Node11/99:MER11B(33,1)","Node11/99","T_1487","619 261",619,261,2.7709e-06,261,367,NA,NA,"MER11B","hg19","#E56D52",0.3525686232,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"83","Node11/99:MER11B(33,1)","Node11/99","T_978","523 277",523,277,0.0281096927,277,384,NA,NA,"MER11B","hg19","#E56D52",0.2560324567,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"84","Node11/99:MER11B(33,1)","Node11/99","T_1100","523 264",523,264,0.0553174263,264,370,NA,NA,"MER11B","hg19","#E56D52",0.2832401903,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"85","Node11/99:MER11B(33,1)","Node11/99","T_1003","523 269",523,269,0.0657838365,269,375,NA,NA,"MER11B","hg19","#E56D52",0.2937066005,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"86","Node11/99:MER11B(33,1)","Node11/99","T_1105","523 254",523,254,0.0458205366,254,358,NA,NA,"MER11B","hg19","#E56D52",0.2737433006,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"87","Node11/99:MER11B(33,1)","Node11/99","T_1428","523 272",523,272,0.048205153,272,378,NA,NA,"MER11B","hg19","#E56D52",0.276127917,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
