"","mark","family.group","functional.group","family.cluster","no.subfamilies.FG","subfamily.count_200bp.FG","intersect.count_200bp.FG","uniqueID.FG","pvalue","mean.value","sd.value","log2FC","perC"
"25702","ZNF433","G13","PG3","LTR22",7,182,0,"ZNF433 G13 PG3 LTR22",2,0.03,0.171446607997765,-0.0426443374084937,0
"25703","ZNF433","G13","PG4","LTR22",12,170,0,"ZNF433 G13 PG4 LTR22",2,0.02,0.14070529413629,-0.028569152196771,0
"25704","ZNF433","G13","PG5","LTR22",1,88,0,"ZNF433 G13 PG5 LTR22",2,0.02,0.14070529413629,-0.028569152196771,0
"25705","ZNF433","G13","PG6","LTR22",7,142,0,"ZNF433 G13 PG6 LTR22",2,0,0,0,0
"25706","ZNF433","G14","PG1","LTR15",1,30,0,"ZNF433 G14 PG1 LTR15",2,0,0,0,0
"25707","ZNF433","G14","PG2","LTR15",2,31,0,"ZNF433 G14 PG2 LTR15",2,0,0,0,0
"25708","ZNF433","G14","PG3","LTR15",2,31,0,"ZNF433 G14 PG3 LTR15",2,0,0,0,0
"25709","ZNF433","G14","PG4","LTR15",4,206,0,"ZNF433 G14 PG4 LTR15",2,0.07,0.256432399976243,-0.0976107966264223,0
"25710","ZNF433","G15","PG1","LTR61",3,72,0,"ZNF433 G15 PG1 LTR61",2,0,0,0,0
"25711","ZNF433","G15","PG2","LTR61",2,49,0,"ZNF433 G15 PG2 LTR61",2,0.03,0.171446607997765,-0.0426443374084937,0
"25712","ZNF433","G16","PG1","LTR66",3,178,0,"ZNF433 G16 PG1 LTR66",2,0.02,0.14070529413629,-0.028569152196771,0
"25713","ZNF433","G17","PG1","LTR4",3,40,0,"ZNF433 G17 PG1 LTR4",2,0.01,0.1,-0.0143552929770701,0
"25714","ZNF433","G17","PG2","LTR4",1,108,0,"ZNF433 G17 PG2 LTR4",2,0.01,0.1,-0.0143552929770701,0
"25715","ZNF433","G17","PG3","LTR4",4,77,0,"ZNF433 G17 PG3 LTR4",2,0.01,0.1,-0.0143552929770701,0
"25716","ZNF433","G18","PG1","LTR25",27,780,0,"ZNF433 G18 PG1 LTR25",2,0.08,0.272659924344291,-0.111031312388744,0
"25717","ZNF433","G18","PG2","LTR25",4,415,1,"ZNF433 G18 PG2 LTR25",0.12,0.07,0.293188669562103,0.902389203373578,0.00240963855421687
"25718","ZNF433","G18","PG3","LTR25",7,212,0,"ZNF433 G18 PG3 LTR25",2,0.01,0.1,-0.0143552929770701,0
"25719","ZNF433","G18","PG4","LTR25",4,109,0,"ZNF433 G18 PG4 LTR25",2,0.03,0.171446607997765,-0.0426443374084937,0
"25720","ZNF433","G18","PG5","LTR25",4,197,0,"ZNF433 G18 PG5 LTR25",2,0,0,0,0
"25721","ZNF433","G18","PG6","LTR25",5,112,0,"ZNF433 G18 PG6 LTR25",2,0.02,0.14070529413629,-0.028569152196771,0
"25722","ZNF433","G18","PG7","LTR25",8,178,0,"ZNF433 G18 PG7 LTR25",2,0.04,0.196946385566932,-0.0565835283663676,0
"25723","ZNF433","G19","PG1","MER11D",2,72,0,"ZNF433 G19 PG1 MER11D",2,0.01,0.1,-0.0143552929770701,0
"25724","ZNF433","G19","PG2","MER11D",1,158,0,"ZNF433 G19 PG2 MER11D",2,0.03,0.171446607997765,-0.0426443374084937,0
"25725","ZNF433","G2","PG1","LTR5",3,91,0,"ZNF433 G2 PG1 LTR5",2,0.04,0.196946385566932,-0.0565835283663676,0
"25726","ZNF433","G2","PG2","LTR5",4,102,0,"ZNF433 G2 PG2 LTR5",2,0.07,0.256432399976243,-0.0976107966264223,0
"25727","ZNF433","G2","PG3","LTR5",1,68,0,"ZNF433 G2 PG3 LTR5",2,0.01,0.1,-0.0143552929770701,0
