Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
308,hg19_G2_v1,5,-4975.164752,7.342483855,0.008,0.034,0.247,0.007727149,0.044332087,25,-,0,LTR5s,
309,hg19_G2_v1,35,-4976.2207,8.398431838,0,0.029,0.186,0.00158456,0.011464887,26,-,0,LTR5s,
310,hg19_G2_v1,50,-4976.222267,8.399998558,0,0.029,0.189,0.001593994,0.006323821,27,-,0,LTR5s,
311,hg19_G2_v1,49,-4976.304968,8.482699774,0,0.028,0.187,0.001576376,0.030123259,28,-,0,LTR5s,
312,hg19_G2_v1,36,-4976.305038,8.482770191,0,0.028,0.187,0.001575845,0.029908936,29,-,0,LTR5s,
313,hg19_G2_v1,48,-4977.358761,9.536493318,0,0.018,0.135,0.000696181,0.003849914,30,-,0,LTR5s,
314,hg19_G2_v1,37,-4977.359118,9.536849896,0,0.018,0.135,0.000695869,0.00180541,31,-,0,LTR5s,
315,hg19_G2_v1,47,-4977.595047,9.772778632,0.001,0.02,0.13,0.00129675,0.012225124,32,-,0,LTR5s,
316,hg19_G2_v1,38,-4978.832523,11.01025487,0,0.006,0.076,0.000234742,0.018871343,33,-,0,LTR5s,
317,hg19_G2_v1,6,-4980.533768,12.71150023,0,0.004,0.034,0.000537671,2.09E-07,34,-,0,LTR5s,
318,hg19_G2_v1,19,-4980.534138,12.71186961,0,0.004,0.034,0.000537553,4.20E-06,35,-,0,LTR5s,
319,hg19_G2_v1,46,-4981.6201,13.79783155,0,0.002,0.035,2.44E-05,4.06E-38,36,-,0,LTR5s,
320,hg19_G2_v1,39,-4981.82425,14.00198223,0,0.002,0.036,2.06E-05,4.79E-05,37,-,0,LTR5s,
321,hg19_G2_v1,40,-4982.078726,14.25645801,0,0.001,0.035,1.48E-05,0.010482848,38,-,0,LTR5s,
322,hg19_G2_v1,45,-4982.079256,14.25698805,0,0.001,0.035,1.48E-05,0.010493589,39,-,0,LTR5s,
323,hg19_G2_v1,9,-4982.560454,14.73818642,0,0.003,0.02,0.000378303,0.008439375,40,-,0,LTR5s,
324,hg19_G2_v1,8,-4982.717801,14.89553352,0,0.002,0.018,0.000322677,0.00914217,41,-,0,LTR5s,
325,hg19_G2_v1,10,-4982.718179,14.89591098,0,0.002,0.018,0.000322603,0.009205028,42,-,0,LTR5s,
326,hg19_G2_v1,7,-4983.2235,15.40123237,0,0,0.014,0.000108335,0.006913187,43,-,0,LTR5s,
327,hg19_G2_v1,13,-4983.252741,15.43047254,0,0.002,0.016,0.000139383,0.007132137,44,-,0,LTR5s,
328,hg19_G2_v1,42,-4983.487492,15.66522448,0,0.002,0.028,2.56E-05,5.62E-05,45,-,0,LTR5s,
329,hg19_G2_v1,41,-4984.545654,16.72338579,0,0,0.011,2.80E-06,2.43E-45,46,-,0,LTR5s,
330,hg19_G2_v1,16,-4984.707403,16.88513542,0,0,0.005,2.10E-05,0.002107846,47,-,0,LTR5s,
331,hg19_G2_v1,43,-4984.78164,16.95937189,0,0,0.011,2.91E-06,2.06E-63,48,-,0,LTR5s,
332,hg19_G2_v1,44,-4984.807059,16.98479134,0,0,0.009,1.79E-06,0.041866487,49,-,0,LTR5s,
333,hg19_G2_v1,12,-4984.969185,17.14691702,0,0.001,0.012,0.000370012,0.0003706,50,-,0,LTR5s,
334,hg19_G2_v1,17,-4985.075776,17.25350761,0,0,0.006,1.75E-05,0.001483876,51,-,0,LTR5s,
335,hg19_G2_v1,18,-4985.075878,17.2536101,0,0,0.006,1.75E-05,0.001490033,52,-,0,LTR5s,
336,hg19_G2_v1,11,-4985.481847,17.65957931,0,0,0.003,9.64E-05,2.87E-05,53,-,0,LTR5s,
337,hg19_G2_v1,14,-4990.075333,22.25306483,0,0,0.001,9.93E-07,7.21E-05,54,-,0,LTR5s,
338,hg19_G2_v1,15,-4990.149823,22.32755526,0,0,0,1.22E-06,2.75E-53,55,-,0,LTR5s,
339,hg19_G3_v1,1,-2882.665015,0,0.307,0.668,1,0.18797107,0.665398623,1,-,1,LTR6s,
340,hg19_G3_v1,4,-2883.19045,0.525435223,0.044,0.332,0.913,0.072689052,0.461228399,2,-,2,LTR6s,
341,hg19_G3_v1,21,-2883.300746,0.635731016,0.036,0.406,0.832,0.068249861,0.487495806,3,-,2,LTR6s,kept
342,hg19_G3_v1,8,-2883.300838,0.635822722,0.054,0.406,0.832,0.068239235,0.489173741,4,-,2,LTR6s,
