Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
472,hg19_G5_v1,112,-8243.798914,3.041120101,0,0.059,0.528,0.002578131,0.118948385,68,-,0,MER11s,
473,hg19_G5_v1,113,-8243.799838,3.042044292,0,0.059,0.527,0.002575492,0.200983743,69,-,0,MER11s,
474,hg19_G5_v1,31,-8243.822978,3.065184238,0.007,0.135,0.466,0.005866153,0.015238851,70,-,0,MER11s,
475,hg19_G5_v1,32,-8243.823132,3.065338456,0.004,0.135,0.467,0.00586615,0.026038348,71,-,0,MER11s,
476,hg19_G5_v1,58,-8243.835731,3.077936713,0,0.067,0.524,0.00244669,0.007288063,72,-,0,MER11s,
477,hg19_G5_v1,114,-8243.840213,3.082419052,0.001,0.067,0.522,0.002436088,0.010051324,73,-,0,MER11s,
478,hg19_G5_v1,71,-8243.866307,3.108513362,0.001,0.134,0.454,0.004378218,0.063716586,74,-,0,MER11s,
479,hg19_G5_v1,70,-8243.866357,3.108563172,0.003,0.134,0.453,0.004377556,0.06279856,75,-,0,MER11s,
480,hg19_G5_v1,61,-8243.876266,3.118472072,0,0.067,0.498,0.002600881,0.007076842,76,-,0,MER11s,
481,hg19_G5_v1,108,-8243.878646,3.120851821,0.002,0.066,0.498,0.002595964,0.004516845,77,-,0,MER11s,
482,hg19_G5_v1,63,-8243.915035,3.157240789,0.001,0.102,0.465,0.003350919,0.254839924,78,-,0,MER11s,
483,hg19_G5_v1,103,-8243.915045,3.157250666,0,0.103,0.466,0.003351178,0.255281008,79,-,0,MER11s,
484,hg19_G5_v1,64,-8243.91507,3.157275648,0.002,0.102,0.466,0.003350896,0.254823203,80,-,0,MER11s,
485,hg19_G5_v1,76,-8243.954484,3.196689699,0.008,0.14,0.439,0.005107473,0.108352314,81,-,0,MER11s,
486,hg19_G5_v1,75,-8243.954603,3.19680853,0.003,0.14,0.439,0.005101153,0.104855198,82,-,0,MER11s,
487,hg19_G5_v1,56,-8243.971625,3.213830594,0,0.035,0.479,0.001727377,2.08E-39,83,-,0,MER11s,
488,hg19_G5_v1,36,-8244.031871,3.274077319,0.001,0.1,0.441,0.002859289,0.032896086,84,-,0,MER11s,
489,hg19_G5_v1,21,-8244.03197,3.274175646,0.001,0.101,0.442,0.002858735,0.045866393,85,-,0,MER11s,
490,hg19_G5_v1,50,-8244.091856,3.334062214,0,0.032,0.442,0.001792072,0.001651681,86,-,0,MER11s,
491,hg19_G5_v1,11,-8244.091956,3.334161982,0.001,0.032,0.442,0.001791128,0.00158343,87,-,0,MER11s,
492,hg19_G5_v1,110,-8244.118079,3.360285293,0,0.051,0.453,0.002126223,0.088244921,88,-,0,MER11s,
493,hg19_G5_v1,109,-8244.118127,3.360332739,0.003,0.051,0.453,0.002126277,0.095202296,89,-,0,MER11s,
494,hg19_G5_v1,57,-8244.131057,3.373263496,0,0.048,0.448,0.001732143,0.052379015,90,-,0,MER11s,
495,hg19_G5_v1,115,-8244.143819,3.386025082,0,0.048,0.451,0.001822791,0.013754453,91,-,0,MER11s,
496,hg19_G5_v1,116,-8244.155371,3.397576646,0,0.043,0.442,0.001640972,0.069147818,92,-,0,MER11s,
497,hg19_G5_v1,102,-8244.158798,3.401003768,0,0.085,0.42,0.002672621,0.082387665,93,-,0,MER11s,
498,hg19_G5_v1,99,-8244.170391,3.412597279,0,0.114,0.402,0.003192134,0.011092454,94,-,0,MER11s,
499,hg19_G5_v1,69,-8244.170937,3.413142586,0,0.114,0.402,0.003190515,0.008374311,95,-,0,MER11s,
500,hg19_G5_v1,65,-8244.172553,3.414759327,0,0.087,0.421,0.002635984,0.040078614,96,-,0,MER11s,
501,hg19_G5_v1,89,-8244.189153,3.431359478,0.006,0.127,0.409,0.004693273,0.1401986,97,-,0,MER11s,
502,hg19_G5_v1,23,-8244.25001,3.4922165,0.001,0.092,0.417,0.00254314,0.060956725,98,-,0,MER11s,
503,hg19_G5_v1,66,-8244.28738,3.529585539,0.002,0.085,0.402,0.002525811,0.044367572,99,-,0,MER11s,
504,hg19_G5_v1,101,-8244.287599,3.52980511,0,0.085,0.402,0.002524962,0.042161295,100,-,0,MER11s,
505,hg19_G5_v1,26,-8244.295491,3.537696788,0,0.107,0.389,0.003670984,0.015570988,101,-,0,MER11s,
506,hg19_G5_v1,68,-8244.369618,3.611824119,0.001,0.083,0.39,0.00234995,0.037531631,102,-,0,MER11s,
507,hg19_G5_v1,67,-8244.369816,3.612022473,0.002,0.083,0.39,0.002349968,0.037639028,103,-,0,MER11s,
508,hg19_G5_v1,88,-8244.388928,3.631134257,0.003,0.118,0.385,0.003635963,0.120049219,104,-,0,MER11s,
509,hg19_G5_v1,77,-8244.401467,3.643672736,0.006,0.113,0.377,0.003263136,0.001003065,105,-,0,MER11s,
510,hg19_G5_v1,35,-8244.454048,3.696253693,0,0.071,0.359,0.00199052,0.118374684,106,-,0,MER11s,
511,hg19_G5_v1,48,-8244.45434,3.696546408,0.001,0.043,0.396,0.001563021,0.000277856,107,-,0,MER11s,
512,hg19_G5_v1,12,-8244.454638,3.696843869,0.001,0.043,0.395,0.001562284,0.00029958,108,-,0,MER11s,
513,hg19_G5_v1,22,-8244.459012,3.70121801,0,0.07,0.358,0.001961632,0.119152844,109,-,0,MER11s,
514,hg19_G5_v1,27,-8244.499263,3.741469272,0,0.105,0.393,0.003487857,0.023937503,110,-,0,MER11s,
515,hg19_G5_v1,29,-8244.501096,3.743302004,0.001,0.105,0.392,0.003484085,0.013009063,111,-,0,MER11s,
516,hg19_G5_v1,84,-8244.586478,3.828684323,0,0.089,0.349,0.002324766,0.10762608,112,-,0,MER11s,
517,hg19_G5_v1,85,-8244.727204,3.969409546,0,0.087,0.331,0.002122685,0.025744381,113,-,0,MER11s,
518,hg19_G5_v1,30,-8244.755447,3.99765316,0,0.088,0.354,0.002656976,0.011552417,114,-,0,MER11s,
519,hg19_G5_v1,100,-8244.857323,4.099529332,0,0.069,0.301,0.001662133,0.01181007,115,-,0,MER11s,
520,hg19_G5_v1,104,-8245.125376,4.367582134,0,0.036,0.251,0.00085229,1.31E-18,116,-,0,MER11s,
521,hg19_G5_v1,62,-8245.1254,4.367606211,0,0.036,0.252,0.000852109,1.24E-30,117,-,0,MER11s,
522,hg19_G5_v1,107,-8245.127847,4.370053273,0,0.036,0.251,0.000850228,1.66E-23,118,-,0,MER11s,
523,hg19_G5_v1,49,-8245.181027,4.423232768,0,0.017,0.267,0.000678484,0.00123703,119,-,0,MER11s,
524,hg19_G5_v1,105,-8245.394107,4.636313246,0,0.028,0.222,0.000651948,6.32E-21,120,-,0,MER11s,
525,hg19_G5_v1,106,-8245.395717,4.637922854,0,0.028,0.222,0.000650956,8.94E-34,121,-,0,MER11s,
526,hg19_G5_v1,86,-8245.708902,4.951107793,0,0.055,0.24,0.000940427,2.48E-61,122,-,0,MER11s,
527,hg19_G5_v1,87,-8245.709024,4.95123013,0,0.054,0.24,0.000940314,6.39E-76,123,-,0,MER11s,
528,hg19_G6_v1,1,-3590.614788,0,0.25,0.665,1,0.140442894,0.833744475,1,-,1,LTR7s,kept
529,hg19_G6_v1,2,-3590.841806,0.227017943,0.087,0.335,0.985,0.094988039,0.655586829,2,-,1,LTR7s,
530,hg19_G6_v1,15,-3590.841828,0.227040368,0.109,0.335,0.985,0.094983078,0.656173998,3,-,1,LTR7s,
531,hg19_G6_v1,9,-3591.921109,1.306320803,0.048,0.276,0.734,0.055210481,0.462206388,4,-,2,LTR7s,
532,hg19_G6_v1,10,-3591.921281,1.306492852,0.068,0.276,0.734,0.055206737,0.464677278,5,-,2,LTR7s,
533,hg19_G6_v1,8,-3591.921579,1.306791149,0.091,0.276,0.734,0.055191315,0.463118049,6,-,2,LTR7s,
534,hg19_G6_v1,62,-3592.20131,1.586521972,0.113,0.218,0.785,0.064275702,0.356435759,7,-,0,LTR7s,
535,hg19_G6_v1,3,-3592.473183,1.858395001,0.006,0.093,0.72,0.021789983,0.1245127,8,-,0,LTR7s,
536,hg19_G6_v1,14,-3592.473107,1.858319158,0.011,0.093,0.72,0.021798673,0.093834108,9,-,0,LTR7s,
537,hg19_G6_v1,7,-3592.610929,1.996140837,0.011,0.182,0.633,0.026771051,0.113090827,10,-,0,LTR7s,
538,hg19_G6_v1,11,-3592.610994,1.996205761,0.02,0.182,0.633,0.026771145,0.113114195,11,-,0,LTR7s,
539,hg19_G6_v1,61,-3592.704034,2.0892461,0.002,0.064,0.748,0.019213258,0.048298846,12,-,0,LTR7s,
540,hg19_G6_v1,16,-3592.704117,2.089329371,0.005,0.064,0.748,0.019212045,0.047144035,13,-,0,LTR7s,
541,hg19_G6_v1,6,-3592.950972,2.336184384,0.005,0.142,0.586,0.019776587,0.052319709,14,-,0,LTR7s,
542,hg19_G6_v1,5,-3592.951159,2.336371149,0.008,0.142,0.586,0.019772693,0.043342338,15,-,0,LTR7s,
543,hg19_G6_v1,4,-3593.128925,2.514137289,0.007,0.117,0.562,0.016016355,0.000732356,16,-,0,LTR7s,
544,hg19_G6_v1,12,-3593.130147,2.515359145,0.01,0.12,0.561,0.016884873,0.059655848,17,-,0,LTR7s,
545,hg19_G6_v1,13,-3593.581194,2.966406242,0.001,0.058,0.497,0.00953892,0.045079574,18,-,0,LTR7s,
546,hg19_G6_v1,63,-3593.631128,3.01634022,0.003,0.047,0.487,0.010017851,0.228496283,19,-,0,LTR7s,
547,hg19_G6_v1,17,-3593.788239,3.173451421,0,0.023,0.471,0.007755853,0.10762943,20,-,0,LTR7s,
548,hg19_G6_v1,60,-3593.788248,3.173460441,0.001,0.023,0.471,0.007755682,0.108251968,21,-,0,LTR7s,
549,hg19_G6_v1,69,-3593.807948,3.193159845,0.059,0.136,0.442,0.034895466,0.20018231,22,-,0,LTR7s,
550,hg19_G6_v1,68,-3594.212335,3.597547342,0.018,0.11,0.393,0.023137762,0.093762901,23,-,0,LTR7s,
551,hg19_G6_v1,54,-3594.239628,3.624839762,0.017,0.046,0.361,0.011243564,0.225497296,24,-,0,LTR7s,
552,hg19_G6_v1,67,-3594.240764,3.625976243,0.01,0.094,0.376,0.018329365,0.000386647,25,-,0,LTR7s,
553,hg19_G6_v1,18,-3594.976159,4.361370846,0,0.014,0.216,0.003598567,0.069437007,26,-,0,LTR7s,
554,hg19_G6_v1,55,-3594.984168,4.369379852,0,0.012,0.216,0.003457008,0.042257176,27,-,0,LTR7s,
555,hg19_G6_v1,19,-3595.027079,4.412291585,0,0.016,0.215,0.003751343,0.019147429,28,-,0,LTR7s,
556,hg19_G6_v1,53,-3595.027275,4.412486695,0,0.016,0.215,0.003750254,0.019300052,29,-,0,LTR7s,
557,hg19_G6_v1,20,-3595.027309,4.412521347,0.001,0.016,0.215,0.003750339,0.019271472,30,-,0,LTR7s,
558,hg19_G6_v1,59,-3595.184722,4.569934157,0,0.011,0.213,0.003284633,0.065635553,31,-,0,LTR7s,
559,hg19_G6_v1,64,-3595.237798,4.623009641,0.001,0.026,0.235,0.003625544,7.24E-09,32,-,0,LTR7s,
560,hg19_G6_v1,66,-3595.281439,4.666651254,0,0.032,0.236,0.004269566,1.86E-08,33,-,0,LTR7s,
561,hg19_G6_v1,65,-3595.3985,4.783712066,0.001,0.027,0.227,0.003749576,0.000422652,34,-,0,LTR7s,
562,hg19_G6_v1,56,-3595.451104,4.836315654,0.001,0.009,0.173,0.002454158,0.069955516,35,-,0,LTR7s,
563,hg19_G6_v1,27,-3595.853071,5.238283443,0.004,0.021,0.166,0.003530096,0.01764374,36,-,0,LTR7s,
564,hg19_G6_v1,58,-3595.971163,5.356374854,0,0.004,0.124,0.001563141,0.044415504,37,-,0,LTR7s,
565,hg19_G6_v1,57,-3595.97149,5.35670206,0,0.004,0.124,0.001562644,0.044578016,38,-,0,LTR7s,
566,hg19_G6_v1,37,-3596.046462,5.431673687,0.001,0.019,0.143,0.003099044,0.237440644,39,-,0,LTR7s,
567,hg19_G6_v1,28,-3596.124386,5.509598583,0.002,0.011,0.151,0.002929,0.010169536,40,-,0,LTR7s,
568,hg19_G6_v1,45,-3596.170116,5.555327614,0.002,0.023,0.142,0.003969289,0.107263127,41,-,0,LTR7s,
569,hg19_G6_v1,38,-3596.178631,5.563843006,0.004,0.024,0.141,0.003956712,0.09970051,42,-,0,LTR7s,
570,hg19_G6_v1,40,-3596.189847,5.575058938,0.003,0.024,0.141,0.003941027,0.034127125,43,-,0,LTR7s,
571,hg19_G6_v1,39,-3596.207284,5.592496514,0.001,0.025,0.138,0.003910552,0.114397671,44,-,0,LTR7s,
572,hg19_G6_v1,36,-3596.219672,5.604884131,0,0.013,0.122,0.002402136,0.006183037,45,-,0,LTR7s,
573,hg19_G6_v1,50,-3596.219685,5.604897453,0.001,0.013,0.122,0.00240248,0.006035609,46,-,0,LTR7s,
574,hg19_G6_v1,30,-3596.377063,5.762275241,0,0.013,0.102,0.001712419,0.01539601,47,-,0,LTR7s,
575,hg19_G6_v1,23,-3596.430424,5.815635847,0,0.009,0.099,0.001605895,0.021524643,48,-,0,LTR7s,
576,hg19_G6_v1,29,-3596.430456,5.81566773,0,0.009,0.099,0.001605806,0.022050982,49,-,0,LTR7s,
577,hg19_G6_v1,24,-3596.430527,5.815739111,0,0.009,0.1,0.001605655,0.02190466,50,-,0,LTR7s,
578,hg19_G6_v1,31,-3596.536194,5.921406138,0,0.009,0.097,0.001443583,0.021076253,51,-,0,LTR7s,
579,hg19_G6_v1,25,-3596.630823,6.016034829,0,0.008,0.093,0.001401608,0.012557287,52,-,0,LTR7s,
580,hg19_G6_v1,47,-3596.696352,6.081564265,0.002,0.02,0.12,0.003523542,0.03940385,53,-,0,LTR7s,
581,hg19_G6_v1,48,-3596.696366,6.081578296,0.006,0.02,0.12,0.003523269,0.039554864,54,-,0,LTR7s,
582,hg19_G6_v1,46,-3596.696554,6.081766603,0.001,0.02,0.12,0.003522351,0.039611943,55,-,0,LTR7s,
583,hg19_G6_v1,51,-3596.698243,6.083455487,0.001,0.007,0.098,0.001612555,0.133049426,56,-,0,LTR7s,
584,hg19_G6_v1,32,-3596.713578,6.098789796,0,0.009,0.087,0.001200309,0.057645197,57,-,0,LTR7s,
585,hg19_G6_v1,33,-3596.71374,6.098952328,0,0.009,0.087,0.001199988,0.057287651,58,-,0,LTR7s,
586,hg19_G6_v1,21,-3596.769821,6.155032667,0,0.006,0.081,0.001069674,0.139692473,59,-,0,LTR7s,
587,hg19_G6_v1,52,-3596.788831,6.174042651,0,0.007,0.094,0.001428802,0.142271728,60,-,0,LTR7s,
588,hg19_G6_v1,22,-3596.794764,6.179976162,0,0.004,0.079,0.001050151,1.81E-34,61,-,0,LTR7s,
589,hg19_G6_v1,35,-3596.795011,6.180223329,0,0.004,0.079,0.001049789,6.69E-53,62,-,0,LTR7s,
590,hg19_G6_v1,34,-3596.795126,6.18033856,0,0.004,0.079,0.001049774,4.50E-39,63,-,0,LTR7s,
591,hg19_G6_v1,26,-3597.043261,6.42847359,0,0.004,0.069,0.00096129,0.034517736,64,-,0,LTR7s,
592,hg19_G6_v1,49,-3597.526579,6.911791331,0,0.004,0.059,0.001158826,1.37E-07,65,-,0,LTR7s,
593,hg19_G6_v1,44,-3597.606825,6.99203701,0.002,0.011,0.075,0.002002304,0.103406065,66,-,0,LTR7s,
594,hg19_G6_v1,41,-3597.607404,6.992616347,0,0.011,0.075,0.002001146,0.103464932,67,-,0,LTR7s,
595,hg19_G6_v1,42,-3597.608215,6.993427089,0.005,0.019,0.096,0.003336886,0.103492986,68,-,0,LTR7s,
596,hg19_G6_v1,43,-3598.682064,8.067276433,0.001,0.01,0.056,0.000997892,0.000797172,69,-,0,LTR7s,
597,hg19_G8_v1,1,-3537.316259,0,0.536,0.55,1,0.442238048,0.663012306,1,-,1,LTR13s,
598,hg19_G8_v1,2,-3537.788182,0.471922579,0.241,0.45,0.966,0.21806748,0.746560277,2,-,1,LTR13s,kept
599,hg19_G8_v1,7,-3539.337404,2.021144464,0.013,0.054,0.741,0.065024276,0.027734411,3,-,0,LTR13s,
600,hg19_G8_v1,4,-3540.957348,3.641088663,0.115,0.24,0.472,0.09720371,0.26515183,4,-,0,LTR13s,
601,hg19_G8_v1,3,-3541.199628,3.883368296,0.022,0.218,0.458,0.048617554,0.218815581,5,-,0,LTR13s,
602,hg19_G8_v1,5,-3541.448534,4.132274865,0.033,0.214,0.447,0.056389558,0.038697764,6,-,0,LTR13s,
603,hg19_G8_v1,6,-3541.597774,4.281514697,0.017,0.185,0.439,0.033832533,0.078940435,7,-,0,LTR13s,
604,hg19_G8_v1,8,-3544.674612,7.358352476,0.003,0.023,0.207,0.006102135,0.011908069,8,-,0,LTR13s,
605,hg19_G8_v1,9,-3544.675184,7.358924185,0.005,0.023,0.207,0.006097613,0.012400713,9,-,0,LTR13s,
606,hg19_G8_v1,31,-3548.192174,10.87591507,0.003,0.022,0.088,0.003535443,0.021138543,10,-,0,LTR13s,
607,hg19_G8_v1,10,-3548.193661,10.87740126,0.001,0.022,0.088,0.003529873,0.019822236,11,-,0,LTR13s,
608,hg19_G8_v1,30,-3548.616266,11.30000655,0,0.019,0.08,0.002370592,0.033553157,12,-,0,LTR13s,
609,hg19_G8_v1,12,-3548.64932,11.33306026,0,0.017,0.08,0.002641918,0.014438512,13,-,0,LTR13s,
610,hg19_G8_v1,29,-3548.649404,11.33314437,0.003,0.017,0.08,0.002640972,0.014624658,14,-,0,LTR13s,
611,hg19_G8_v1,11,-3548.650075,11.33381533,0.001,0.018,0.078,0.002477531,0.013954451,15,-,0,LTR13s,
612,hg19_G8_v1,13,-3550.201842,12.8855822,0.002,0.006,0.051,0.001667695,0.012879528,16,-,0,LTR13s,
613,hg19_G8_v1,28,-3550.202245,12.88598545,0.001,0.006,0.051,0.001666565,0.012898656,17,-,0,LTR13s,
614,hg19_G8_v1,14,-3550.855423,13.5391635,0.002,0.006,0.045,0.001067074,0.008591458,18,-,0,LTR13s,
615,hg19_G8_v1,27,-3550.855724,13.53946426,0.001,0.006,0.045,0.001066443,0.008862421,19,-,0,LTR13s,
616,hg19_G8_v1,15,-3552.386058,15.06979859,0,0.004,0.028,0.000354945,0.016445857,20,-,0,LTR13s,
617,hg19_G8_v1,22,-3552.687361,15.37110196,0,0.003,0.024,0.000256041,0.00221915,21,-,0,LTR13s,
618,hg19_G8_v1,21,-3552.733276,15.41701696,0,0.006,0.028,0.000420668,0.001540168,22,-,0,LTR13s,
619,hg19_G8_v1,16,-3552.733621,15.41736149,0,0.006,0.028,0.000420601,2.38E-05,23,-,0,LTR13s,
620,hg19_G8_v1,20,-3552.974064,15.65780451,0.001,0.008,0.033,0.001063222,0.007131173,24,-,0,LTR13s,
621,hg19_G8_v1,26,-3553.271044,15.95478421,0,0.003,0.02,0.000159657,0.001525183,25,-,0,LTR13s,
622,hg19_G8_v1,23,-3553.271354,15.95509452,0,0.003,0.02,0.000159426,0.00152801,26,-,0,LTR13s,
623,hg19_G8_v1,17,-3553.620024,16.3037647,0,0.006,0.026,0.000282289,2.91E-05,27,-,0,LTR13s,
624,hg19_G8_v1,18,-3553.621841,16.30558132,0,0.006,0.026,0.000283633,1.85E-05,28,-,0,LTR13s,
625,hg19_G8_v1,19,-3553.770129,16.4538692,0,0.006,0.024,0.000302822,3.59E-05,29,-,0,LTR13s,
626,hg19_G8_v1,24,-3555.061505,17.74524576,0,0.002,0.011,2.98E-05,0.001374118,30,-,0,LTR13s,
627,hg19_G8_v1,25,-3555.062012,17.74575243,0,0.002,0.011,2.98E-05,0.00136126,31,-,0,LTR13s,
628,hg19_G9_v1,1,-3079.486103,0,0.569,0.782,1,0.380480691,0.791421245,1,-,1,LTR23s,
629,hg19_G9_v1,3,-3080.740071,1.253968032,0.051,0.218,0.637,0.090539447,0.390683619,2,-,0,LTR23s,
630,hg19_G9_v1,2,-3080.740112,1.254009494,0.051,0.218,0.638,0.090564418,0.39372229,3,-,0,LTR23s,
631,hg19_G9_v1,5,-3081.372648,1.886545446,0.02,0.193,0.488,0.046777245,0.462190383,4,-,2,LTR23s,
632,hg19_G9_v1,15,-3081.461875,1.9757722,0.052,0.267,0.428,0.07062928,0.392367633,5,-,0,LTR23s,kept
633,hg19_G9_v1,17,-3081.461911,1.975808193,0.078,0.267,0.428,0.070637554,0.376600487,6,-,0,LTR23s,
634,hg19_G9_v1,16,-3081.461913,1.975810593,0.084,0.267,0.428,0.070624082,0.402205379,7,-,2,LTR23s,
635,hg19_G9_v1,4,-3081.462365,1.976262764,0.048,0.172,0.468,0.052995801,0.139756945,8,-,0,LTR23s,
636,hg19_G9_v1,6,-3082.576667,3.090564258,0.002,0.149,0.205,0.020693972,0.267151045,9,-,0,LTR23s,
637,hg19_G9_v1,14,-3082.886179,3.400076789,0.005,0.136,0.177,0.019620519,0.107263298,10,-,0,LTR23s,
638,hg19_G9_v1,7,-3082.88634,3.400237509,0.012,0.136,0.177,0.019617272,0.091812473,11,-,0,LTR23s,
639,hg19_G9_v1,8,-3083.361261,3.875158405,0.004,0.119,0.136,0.012721085,0.136087176,12,-,0,LTR23s,
640,hg19_G9_v1,9,-3083.361281,3.875178695,0.004,0.119,0.136,0.01271976,0.139323486,13,-,0,LTR23s,
641,hg19_G9_v1,11,-3083.8592,4.373097612,0.006,0.101,0.121,0.013313844,0.114184313,14,-,0,LTR23s,
642,hg19_G9_v1,10,-3083.947704,4.461601344,0.007,0.095,0.112,0.011960236,0.05485646,15,-,0,LTR23s,
643,hg19_G9_v1,12,-3083.947723,4.461620005,0.007,0.095,0.112,0.011960574,0.054888801,16,-,0,LTR23s,
644,hg19_G9_v1,13,-3084.827636,5.341533162,0,0.056,0.062,0.004144222,0.007758389,17,-,0,LTR23s,
1,hg19_G10_v1,1,-1458.710508,0,0.792,0.838,1,0.688073068,0.873763876,1,-,1,LTR14s,kept
2,hg19_G10_v1,6,-1460.772842,2.062333936,0.105,0.162,0.436,0.159331417,0.169279506,2,-,0,LTR14s,
3,hg19_G10_v1,5,-1460.797457,2.086948529,0.102,0.16,0.433,0.150331487,0.222448695,3,-,0,LTR14s,
4,hg19_G10_v1,3,-1481.895336,23.18482825,0.001,0,0.004,0.001390392,0.002144278,4,-,0,LTR14s,
5,hg19_G10_v1,2,-1481.899375,23.18886722,0,0,0.005,0.000873636,0.000264194,5,-,0,LTR14s,
6,hg19_G11_v1,2,-2056.821274,0,0.099,0.548,1,0.135430026,0.749873546,1,-,1,LTR14Bs,
7,hg19_G11_v1,19,-2056.821341,6.68E-05,0.173,0.452,0.935,0.135427528,0.748211941,2,-,1,LTR14Bs,
8,hg19_G11_v1,1,-2056.821503,0.000228843,0.198,0.503,0.921,0.135333918,0.715176382,3,-,1,LTR14Bs,kept
9,hg19_G11_v1,3,-2057.511733,0.690458356,0.05,0.21,0.719,0.068188758,0.336029075,4,-,0,LTR14Bs,
10,hg19_G11_v1,18,-2057.511741,0.690466546,0.061,0.21,0.719,0.068186505,0.317778799,5,-,0,LTR14Bs,
11,hg19_G11_v1,8,-2058.258705,1.437430392,0.018,0.236,0.612,0.038067189,0.494931858,6,-,2,LTR14Bs,
12,hg19_G11_v1,7,-2058.258794,1.437519941,0.02,0.236,0.612,0.038069687,0.449935892,7,-,2,LTR14Bs,
13,hg19_G11_v1,17,-2058.259087,1.437812635,0.033,0.236,0.612,0.038046009,0.500204559,8,-,1,LTR14Bs,
14,hg19_G11_v1,5,-2058.269737,1.448462188,0.012,0.156,0.557,0.032351219,0.396744135,9,-,0,LTR14Bs,
15,hg19_G11_v1,4,-2058.32411,1.502835712,0.028,0.131,0.534,0.034315088,0.088919531,10,-,0,LTR14Bs,
16,hg19_G11_v1,13,-2058.684374,1.863099308,0.034,0.207,0.427,0.036568825,0.334084004,11,-,0,LTR14Bs,
17,hg19_G11_v1,9,-2058.691746,1.870471217,0.024,0.204,0.419,0.031544287,0.465313295,12,-,2,LTR14Bs,
18,hg19_G11_v1,14,-2058.691769,1.87049423,0.023,0.204,0.419,0.031542615,0.442498354,13,-,2,LTR14Bs,
19,hg19_G11_v1,6,-2058.738476,1.917201358,0.013,0.146,0.438,0.023346942,0.179079084,14,-,0,LTR14Bs,
20,hg19_G11_v1,12,-2058.857919,2.036644427,0.091,0.218,0.391,0.046480125,0.351571392,15,-,0,LTR14Bs,
21,hg19_G11_v1,10,-2058.871195,2.049921079,0.02,0.186,0.349,0.027907182,0.33934844,16,-,0,LTR14Bs,
22,hg19_G11_v1,16,-2059.27341,2.452136051,0.076,0.2,0.317,0.03887322,0.207990805,17,-,0,LTR14Bs,
23,hg19_G11_v1,15,-2059.531756,2.710481309,0.017,0.155,0.243,0.022376892,0.198447195,18,-,0,LTR14Bs,
24,hg19_G11_v1,11,-2059.70729,2.886015669,0.01,0.131,0.22,0.017943984,0.01303392,19,-,0,LTR14Bs,
25,hg19_G12_v1,1,-1697.009565,0,0.133,0.856,1,0.199796588,0.962743173,1,-,1,LTR17s,
26,hg19_G12_v1,2,-1697.15525,0.145685259,0.145,0.144,0.872,0.171403879,0.351675862,2,-,0,LTR17s,
27,hg19_G12_v1,21,-1697.155699,0.146134477,0.234,0.129,0.867,0.171350755,0.350984359,3,-,0,LTR17s,
28,hg19_G12_v1,7,-1699.509809,2.500244831,0.053,0.233,0.604,0.06508383,0.149743313,4,-,0,LTR17s,
29,hg19_G12_v1,6,-1699.510145,2.500580698,0.077,0.233,0.604,0.06506247,0.15367546,5,-,0,LTR17s,
30,hg19_G12_v1,5,-1699.510285,2.500720163,0.104,0.233,0.604,0.065061851,0.14966526,6,-,0,LTR17s,
31,hg19_G12_v1,8,-1700.306547,3.29698275,0.019,0.19,0.503,0.028142885,0.161508552,7,-,0,LTR17s,
32,hg19_G12_v1,4,-1700.306609,3.297044641,0.021,0.19,0.503,0.028140842,0.161156998,8,-,0,LTR17s,
33,hg19_G12_v1,20,-1700.609191,3.599626602,0.01,0.139,0.458,0.020848199,0.08885777,9,-,0,LTR17s,
34,hg19_G12_v1,3,-1700.615722,3.606157324,0.015,0.143,0.459,0.020735331,0.015859933,10,-,0,LTR17s,
35,hg19_G12_v1,9,-1700.616202,3.606636944,0.015,0.143,0.46,0.020726117,0.135871059,11,-,0,LTR17s,
36,hg19_G12_v1,23,-1700.817885,3.808320638,0.056,0.116,0.385,0.047878681,0.100779479,12,-,0,LTR17s,
37,hg19_G12_v1,22,-1700.818395,3.808829991,0.07,0.116,0.385,0.047860179,0.100773017,13,-,0,LTR17s,
38,hg19_G12_v1,18,-1704.157648,7.148082863,0.003,0.046,0.116,0.002987703,0.004121689,14,-,0,LTR17s,
39,hg19_G12_v1,10,-1704.344957,7.335392131,0.001,0.043,0.099,0.002283006,0.003220365,15,-,0,LTR17s,
40,hg19_G12_v1,11,-1704.345045,7.335480034,0.002,0.043,0.099,0.002283458,0.002603749,16,-,0,LTR17s,
41,hg19_G12_v1,19,-1704.447032,7.437467369,0,0.042,0.096,0.001878089,0.00073398,17,-,0,LTR17s,
42,hg19_G12_v1,15,-1705.073609,8.064044519,0.007,0.045,0.099,0.009755082,0.049041866,18,-,0,LTR17s,kept
43,hg19_G12_v1,14,-1705.074248,8.064683455,0.013,0.045,0.099,0.009748151,0.049113552,19,-,0,LTR17s,
44,hg19_G12_v1,16,-1705.074269,8.064704031,0.009,0.045,0.099,0.009748738,0.049077965,20,-,0,LTR17s,
45,hg19_G12_v1,13,-1705.506606,8.497041575,0.013,0.041,0.084,0.007469533,0.03594401,21,-,0,LTR17s,
46,hg19_G12_v1,12,-1706.586032,9.576467846,0,0.025,0.055,0.001464942,1.90E-08,22,-,0,LTR17s,
47,hg19_G12_v1,17,-1707.448527,10.43896263,0,0.013,0.033,0.000289691,0.00428592,23,-,0,LTR17s,
