# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('Step21_hg19_G5_v1.mafft.prank.best.fas.nonrev_dna.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
31,-8243.822978,3.065184238,0.007,0.135,0.466,0.00586615307,0.01523885079
32,-8243.823132,3.065338456,0.004,0.135,0.467,0.005866150028,0.02603834773
58,-8243.835731,3.077936713,0,0.067,0.524,0.002446690436,0.007288063116
114,-8243.840213,3.082419052,0.001,0.067,0.522,0.002436088023,0.01005132363
71,-8243.866307,3.108513362,0.001,0.134,0.454,0.004378218243,0.06371658577
70,-8243.866357,3.108563172,0.003,0.134,0.453,0.004377555658,0.06279855955
61,-8243.876266,3.118472072,0,0.067,0.498,0.002600880747,0.00707684211
108,-8243.878646,3.120851821,0.002,0.066,0.498,0.002595964333,0.004516844768
63,-8243.915035,3.157240789,0.001,0.102,0.465,0.003350918969,0.2548399236
103,-8243.915045,3.157250666,0,0.103,0.466,0.003351178498,0.2552810075
64,-8243.91507,3.157275648,0.002,0.102,0.466,0.003350895991,0.2548232025
76,-8243.954484,3.196689699,0.008,0.14,0.439,0.005107472729,0.1083523138
75,-8243.954603,3.19680853,0.003,0.14,0.439,0.005101152986,0.1048551977
56,-8243.971625,3.213830594,0,0.035,0.479,0.001727377196,2.078272689e-39
36,-8244.031871,3.274077319,0.001,0.1,0.441,0.002859289252,0.0328960858
21,-8244.03197,3.274175646,0.001,0.101,0.442,0.002858734932,0.04586639347
50,-8244.091856,3.334062214,0,0.032,0.442,0.001792072363,0.001651680752
11,-8244.091956,3.334161982,0.001,0.032,0.442,0.001791127587,0.001583429638
110,-8244.118079,3.360285293,0,0.051,0.453,0.002126223429,0.08824492094
109,-8244.118127,3.360332739,0.003,0.051,0.453,0.002126277208,0.09520229565
57,-8244.131057,3.373263496,0,0.048,0.448,0.001732143026,0.05237901477
115,-8244.143819,3.386025082,0,0.048,0.451,0.001822791421,0.01375445254
116,-8244.155371,3.397576646,0,0.043,0.442,0.001640971542,0.0691478175
102,-8244.158798,3.401003768,0,0.085,0.42,0.0026726207,0.08238766528
99,-8244.170391,3.412597279,0,0.114,0.402,0.003192133911,0.0110924538
69,-8244.170937,3.413142586,0,0.114,0.402,0.003190515151,0.008374311076
65,-8244.172553,3.414759327,0,0.087,0.421,0.002635983536,0.0400786143
89,-8244.189153,3.431359478,0.006,0.127,0.409,0.004693273058,0.1401986
23,-8244.25001,3.4922165,0.001,0.092,0.417,0.002543140175,0.06095672531
66,-8244.28738,3.529585539,0.002,0.085,0.402,0.002525810644,0.04436757191
101,-8244.287599,3.52980511,0,0.085,0.402,0.002524961832,0.04216129469
26,-8244.295491,3.537696788,0,0.107,0.389,0.003670983504,0.01557098778
68,-8244.369618,3.611824119,0.001,0.083,0.39,0.002349949975,0.03753163094
67,-8244.369816,3.612022473,0.002,0.083,0.39,0.002349967522,0.03763902756
88,-8244.388928,3.631134257,0.003,0.118,0.385,0.003635963383,0.1200492186
77,-8244.401467,3.643672736,0.006,0.113,0.377,0.003263136374,0.001003064928
35,-8244.454048,3.696253693,0,0.071,0.359,0.001990520412,0.1183746841
48,-8244.45434,3.696546408,0.001,0.043,0.396,0.001563021021,0.0002778561634
12,-8244.454638,3.696843869,0.001,0.043,0.395,0.001562284496,0.0002995803729
22,-8244.459012,3.70121801,0,0.07,0.358,0.001961632004,0.1191528441
27,-8244.499263,3.741469272,0,0.105,0.393,0.003487857104,0.02393750335
29,-8244.501096,3.743302004,0.001,0.105,0.392,0.003484084878,0.01300906255
84,-8244.586478,3.828684323,0,0.089,0.349,0.002324766245,0.1076260795
85,-8244.727204,3.969409546,0,0.087,0.331,0.00212268535,0.02574438148
30,-8244.755447,3.99765316,0,0.088,0.354,0.002656976375,0.01155241661
100,-8244.857323,4.099529332,0,0.069,0.301,0.00166213276,0.01181007021
104,-8245.125376,4.367582134,0,0.036,0.251,0.0008522903733,1.314043235e-18
62,-8245.1254,4.367606211,0,0.036,0.252,0.0008521092714,1.242043862e-30
107,-8245.127847,4.370053273,0,0.036,0.251,0.0008502280279,1.655543964e-23
49,-8245.181027,4.423232768,0,0.017,0.267,0.000678483654,0.00123702971
105,-8245.394107,4.636313246,0,0.028,0.222,0.0006519476187,6.31850298e-21
106,-8245.395717,4.637922854,0,0.028,0.222,0.000650956304,8.93929044e-34
86,-8245.708902,4.951107793,0,0.055,0.24,0.0009404272106,2.484349686e-61
87,-8245.709024,4.95123013,0,0.054,0.24,0.0009403138569,6.39097652e-76

